Variable,KS Distance
B_plus_ENDVERTEX_CHI2,0.0669
B_plus_IPCHI2_OWNPV,0.0366
B_plus_FDCHI2_OWNPV,0.0672
B_plus_DIRA_OWNPV,0.0384
K_plus_IPCHI2_OWNPV,0.0909
K_plus_TRACK_CHI2NDOF,0.0191
e_minus_IPCHI2_OWNPV,0.0678
e_minus_TRACK_CHI2NDOF,0.027
e_plus_IPCHI2_OWNPV,0.0708
e_plus_TRACK_CHI2NDOF,0.0288
