iteration,kl_loss,reco_loss,total_loss
0.0,0.38536354899406433,194.483154296875,194.86851784586906
1.0,0.392077773809433,184.19908142089844,184.59115919470787
2.0,0.37604522705078125,185.0303497314453,185.4063949584961
3.0,0.3962242603302002,184.42263793945312,184.81886219978333
4.0,0.38954591751098633,186.08828735351562,186.4778332710266
5.0,0.38926950097084045,180.40115356445312,180.79042306542397
6.0,0.3908393681049347,178.38009643554688,178.7709358036518
7.0,0.39734160900115967,194.92709350585938,195.32443511486053
8.0,0.39319777488708496,182.97116088867188,183.36435866355896
9.0,0.3902197480201721,176.86166381835938,177.25188356637955
10.0,0.41217637062072754,182.77745056152344,183.18962693214417
11.0,0.3938097655773163,184.27540588378906,184.66921564936638
12.0,0.36705267429351807,181.1631317138672,181.5301843881607
13.0,0.40013837814331055,181.33970642089844,181.73984479904175
14.0,0.37871047854423523,183.87994384765625,184.25865432620049
15.0,0.38940876722335815,176.54624938964844,176.9356581568718
16.0,0.40196412801742554,184.02188110351562,184.42384523153305
17.0,0.3782025873661041,184.80291748046875,185.18112006783485
18.0,0.39445051550865173,174.9890594482422,175.38350996375084
19.0,0.3978947699069977,173.1648406982422,173.56273546814919
20.0,0.3756667673587799,174.09603881835938,174.47170558571815
21.0,0.394541472196579,178.60511779785156,178.99965927004814
22.0,0.3947203755378723,178.58973693847656,178.98445731401443
23.0,0.40304121375083923,182.57130432128906,182.9743455350399
24.0,0.3866177201271057,183.59803771972656,183.98465543985367
25.0,0.3823153078556061,187.09613037109375,187.47844567894936
26.0,0.381054550409317,171.5501708984375,171.93122544884682
27.0,0.3745120167732239,168.06216430664062,168.43667632341385
28.0,0.3937155604362488,184.2002716064453,184.59398716688156
29.0,0.36425745487213135,169.63755798339844,170.00181543827057
30.0,0.37713542580604553,172.2324676513672,172.60960307717323
31.0,0.38226911425590515,166.8199005126953,167.20216962695122
32.0,0.3844097852706909,169.5711212158203,169.955531001091
33.0,0.39949098229408264,166.7532958984375,167.15278688073158
34.0,0.37986645102500916,174.71493530273438,175.09480175375938
35.0,0.4011465609073639,175.72994995117188,176.13109651207924
36.0,0.37701737880706787,175.71530151367188,176.09231889247894
37.0,0.38289979100227356,173.1201629638672,173.50306275486946
38.0,0.4107787013053894,169.23419189453125,169.64497059583664
39.0,0.39107200503349304,166.5972442626953,166.9883162677288
40.0,0.3898813724517822,184.1816864013672,184.57156777381897
41.0,0.38284751772880554,170.35679626464844,170.73964378237724
42.0,0.38924992084503174,177.3983612060547,177.78761112689972
43.0,0.39126208424568176,165.8487548828125,166.24001696705818
44.0,0.3844141662120819,167.9614715576172,168.34588572382927
45.0,0.3715413808822632,171.8326416015625,172.20418298244476
46.0,0.37654396891593933,163.3888702392578,163.76541420817375
47.0,0.3761307895183563,168.0980682373047,168.47419902682304
48.0,0.37015122175216675,168.45660400390625,168.82675522565842
49.0,0.3827172815799713,171.9901580810547,172.37287536263466
50.0,0.3893055319786072,166.20147705078125,166.59078258275986
51.0,0.3815833628177643,164.52171325683594,164.9032966196537
52.0,0.38722413778305054,170.18572998046875,170.5729541182518
53.0,0.37801671028137207,164.7520294189453,165.13004612922668
54.0,0.367966890335083,166.43638610839844,166.80435299873352
55.0,0.38387158513069153,165.8391876220703,166.223059207201
56.0,0.3950037658214569,167.55242919921875,167.9474329650402
57.0,0.3953099846839905,165.4416961669922,165.83700615167618
58.0,0.3827376663684845,157.5097198486328,157.8924575150013
59.0,0.3909193277359009,165.6854705810547,166.0763899087906
60.0,0.3925073742866516,164.066162109375,164.45866948366165
61.0,0.3817936182022095,159.12542724609375,159.50722086429596
62.0,0.38103312253952026,168.99928283691406,169.38031595945358
63.0,0.3932530879974365,160.90383911132812,161.29709219932556
64.0,0.40279850363731384,162.37088012695312,162.77367863059044
65.0,0.3922036290168762,161.4131317138672,161.80533534288406
66.0,0.39326012134552,154.085205078125,154.47846519947052
67.0,0.3847047984600067,166.0281524658203,166.41285726428032
68.0,0.3876611590385437,151.0205841064453,151.40824526548386
69.0,0.3839532434940338,158.18646240234375,158.57041564583778
70.0,0.39777281880378723,160.18980407714844,160.58757689595222
71.0,0.41075199842453003,157.36727905273438,157.7780310511589
72.0,0.39945560693740845,157.93887329101562,158.33832889795303
73.0,0.40175366401672363,164.9312286376953,165.33298230171204
74.0,0.3981504738330841,157.13882446289062,157.5369749367237
75.0,0.39687225222587585,161.7392578125,162.13613006472588
76.0,0.3956688642501831,162.50247192382812,162.8981407880783
77.0,0.39520591497421265,164.3455047607422,164.7407106757164
78.0,0.4108566641807556,162.75160217285156,163.16245883703232
79.0,0.4176718294620514,162.37353515625,162.79120698571205
80.0,0.39207541942596436,157.3597869873047,157.75186240673065
81.0,0.4174133837223053,156.78323364257812,157.20064702630043
82.0,0.410933256149292,157.4884490966797,157.89938235282898
83.0,0.4241873025894165,153.04058837890625,153.46477568149567
84.0,0.40725764632225037,155.07345581054688,155.48071345686913
85.0,0.40092241764068604,153.8970184326172,154.29794085025787
86.0,0.40124326944351196,154.96856689453125,155.36981016397476
87.0,0.40009960532188416,154.11578369140625,154.51588329672813
88.0,0.4226890206336975,156.26431274414062,156.68700176477432
89.0,0.4191212058067322,154.9733123779297,155.39243358373642
90.0,0.4054446220397949,148.67904663085938,149.08449125289917
91.0,0.42934760451316833,157.6395263671875,158.06887397170067
92.0,0.4112647771835327,152.12840270996094,152.53966748714447
93.0,0.41479605436325073,151.88031005859375,152.295106112957
94.0,0.4210259020328522,151.68394470214844,152.1049706041813
95.0,0.42628973722457886,154.07337951660156,154.49966925382614
