Variable,KS Distance
B_plus_ENDVERTEX_CHI2,0.0575
B_plus_IPCHI2_OWNPV,0.0296
B_plus_FDCHI2_OWNPV,0.0494
B_plus_DIRA_OWNPV,0.0188
K_plus_IPCHI2_OWNPV,0.0911
K_plus_TRACK_CHI2NDOF,0.0172
e_minus_IPCHI2_OWNPV,0.044
e_minus_TRACK_CHI2NDOF,0.0181
e_plus_IPCHI2_OWNPV,0.0465
e_plus_TRACK_CHI2NDOF,0.0206
