iteration,kl_loss,reco_loss,total_loss
0.0,0.4700060784816742,169.36666870117188,169.83667477965355
1.0,0.46095791459083557,168.71160888671875,169.17256680130959
2.0,0.47775015234947205,161.73777770996094,162.2155278623104
3.0,0.46919286251068115,169.70950317382812,170.1786960363388
4.0,0.4606649875640869,170.17189025878906,170.63255524635315
5.0,0.46056416630744934,167.91444396972656,168.375008136034
6.0,0.4549793004989624,170.69252014160156,171.14749944210052
7.0,0.46513450145721436,168.97195434570312,169.43708884716034
8.0,0.45808225870132446,170.4102783203125,170.86836057901382
9.0,0.4679740369319916,162.8844451904297,163.35241922736168
10.0,0.48073023557662964,164.25230407714844,164.73303431272507
11.0,0.46999672055244446,156.642333984375,157.11233070492744
12.0,0.4751465320587158,166.9420928955078,167.41723942756653
13.0,0.4604916274547577,166.04132080078125,166.501812428236
14.0,0.4635779857635498,165.49742126464844,165.960999250412
15.0,0.47595444321632385,163.47409057617188,163.9500450193882
16.0,0.47739702463150024,169.38186645507812,169.85926347970963
17.0,0.4729445278644562,159.54949951171875,160.0224440395832
18.0,0.4659292995929718,166.7912139892578,167.25714328885078
19.0,0.48599424958229065,162.16525268554688,162.65124693512917
20.0,0.48006653785705566,155.69735717773438,156.17742371559143
21.0,0.46250876784324646,163.42648315429688,163.88899192214012
22.0,0.4903905391693115,161.69448852539062,162.18487906455994
23.0,0.4791957437992096,163.4348602294922,163.9140559732914
24.0,0.4388474225997925,156.55575561523438,156.99460303783417
25.0,0.47833025455474854,167.0152130126953,167.49354326725006
26.0,0.4756142795085907,159.25941467285156,159.73502895236015
27.0,0.44913148880004883,159.35841369628906,159.8075451850891
28.0,0.4764540493488312,164.78695678710938,165.2634108364582
29.0,0.452706515789032,168.5604705810547,169.01317709684372
30.0,0.48590388894081116,165.02601623535156,165.51192012429237
31.0,0.43567630648612976,160.6909942626953,161.12667056918144
32.0,0.47187426686286926,152.3141632080078,152.78603747487068
33.0,0.4806164503097534,153.66819763183594,154.1488140821457
34.0,0.487046480178833,157.78114318847656,158.2681896686554
35.0,0.45585888624191284,153.54527282714844,154.00113171339035
36.0,0.47351887822151184,152.225341796875,152.6988606750965
37.0,0.47043731808662415,157.72250366210938,158.192940980196
38.0,0.4666175842285156,147.5607452392578,148.02736282348633
39.0,0.4533795118331909,161.67190551757812,162.12528502941132
40.0,0.4622270464897156,162.27041625976562,162.73264330625534
41.0,0.4792666733264923,165.01231384277344,165.49158051609993
42.0,0.47987601161003113,162.3162078857422,162.79608389735222
43.0,0.47819820046424866,151.98756408691406,152.4657622873783
44.0,0.4519438147544861,157.74342346191406,158.19536727666855
45.0,0.44654279947280884,155.1769256591797,155.6234684586525
46.0,0.45806884765625,152.7024383544922,153.16050720214844
47.0,0.4629914164543152,154.96266174316406,155.42565315961838
48.0,0.45997875928878784,157.96286010742188,158.42283886671066
49.0,0.4892364740371704,153.2290802001953,153.71831667423248
50.0,0.46369946002960205,155.44757080078125,155.91127026081085
51.0,0.4700772762298584,150.66754150390625,151.1376187801361
52.0,0.4627983868122101,149.23289489746094,149.69569328427315
53.0,0.47692763805389404,152.12649536132812,152.60342299938202
54.0,0.44484612345695496,152.8245849609375,153.26943108439445
55.0,0.45928800106048584,155.33326721191406,155.79255521297455
56.0,0.4534342885017395,151.32594299316406,151.7793772816658
57.0,0.4515209496021271,151.8302001953125,152.28172114491463
58.0,0.44424256682395935,154.8209686279297,155.26521119475365
59.0,0.46487095952033997,158.84066772460938,159.30553868412971
60.0,0.4688701927661896,151.6722412109375,152.1411114037037
61.0,0.4811643660068512,153.6136932373047,154.09485760331154
62.0,0.47255411744117737,152.9667510986328,153.439305216074
63.0,0.4745270311832428,146.70535278320312,147.17987981438637
64.0,0.4678184390068054,151.47218322753906,151.94000166654587
65.0,0.4723537564277649,152.2623291015625,152.73468285799026
66.0,0.47037652134895325,151.60671997070312,152.07709649205208
67.0,0.48278459906578064,145.58770751953125,146.07049211859703
68.0,0.4732421040534973,152.79058837890625,153.26383048295975
69.0,0.4668428301811218,149.708740234375,150.17558306455612
70.0,0.4836072027683258,153.95301818847656,154.4366253912449
71.0,0.4812694787979126,147.2809295654297,147.7621990442276
72.0,0.4783962666988373,143.70132446289062,144.17972072958946
73.0,0.4753609895706177,145.29579162597656,145.77115261554718
74.0,0.4736665189266205,141.0110321044922,141.4846986234188
75.0,0.47080668807029724,149.81582641601562,150.28663310408592
76.0,0.4763152301311493,142.8705291748047,143.34684440493584
77.0,0.47522494196891785,144.74472045898438,145.2199454009533
78.0,0.5065470933914185,147.5648956298828,148.07144272327423
79.0,0.4729496240615845,147.93679809570312,148.4097477197647
80.0,0.4775789678096771,143.2616424560547,143.73922142386436
81.0,0.4810258150100708,140.3513946533203,140.83242046833038
82.0,0.4918630123138428,140.55838012695312,141.05024313926697
83.0,0.4714789390563965,141.27151489257812,141.74299383163452
84.0,0.5103110671043396,141.29083251953125,141.8011435866356
85.0,0.4893668591976166,142.69630432128906,143.18567118048668
86.0,0.5078592300415039,144.2454071044922,144.7532663345337
87.0,0.4879213571548462,143.80584716796875,144.2937685251236
88.0,0.4974195957183838,139.9167022705078,140.4141218662262
89.0,0.4889349937438965,150.01773071289062,150.50666570663452
90.0,0.4864743947982788,142.20199584960938,142.68847024440765
91.0,0.48295074701309204,142.99624633789062,143.47919708490372
92.0,0.5016800761222839,144.58203125,145.08371132612228
93.0,0.486950159072876,141.15042114257812,141.637371301651
94.0,0.500598669052124,145.95687866210938,146.4574773311615
95.0,0.49953213334083557,141.49594116210938,141.9954732954502
